ID	Split
mol_0	train
mol_1	train
mol_2	train
mol_3	train
mol_4	train
mol_5	train
mol_6	train
mol_7	val
mol_8	train
mol_9	train
mol_10	train
mol_11	train
mol_12	train
mol_13	train
mol_14	train
mol_15	train
mol_16	train
mol_17	train
mol_18	train
mol_19	train
mol_20	train
mol_21	train
mol_22	train
mol_23	train
mol_24	train
mol_25	train
mol_26	train
mol_27	val
mol_28	train
mol_29	train
mol_30	train
mol_31	train
mol_32	train
mol_33	train
mol_34	train
mol_35	val
mol_36	train
mol_37	train
mol_38	train
mol_39	train
mol_40	train
mol_41	val
mol_42	train
mol_43	train
mol_44	train
mol_45	train
mol_46	train
mol_47	train
mol_48	train
mol_49	train
mol_50	val
mol_51	val
mol_52	train
mol_53	train
mol_54	test
mol_55	train
mol_56	train
mol_57	test
mol_58	train
mol_59	test
mol_60	train
mol_61	val
mol_62	train
mol_63	train
mol_64	train
mol_65	train
mol_66	train
mol_67	val
mol_68	train
mol_69	val
mol_70	train
mol_71	train
mol_72	train
mol_73	test
mol_74	train
mol_75	train
mol_76	train
mol_77	train
mol_78	train
mol_79	train
mol_80	train
mol_81	train
mol_82	train
mol_83	train
mol_84	val
mol_85	val
mol_86	train
mol_87	train
mol_88	train
mol_89	train
mol_90	train
mol_91	val
mol_92	test
mol_93	val
mol_94	val
mol_95	test
mol_96	train
mol_97	train
mol_98	train
mol_99	train
mol_100	train
mol_101	train
mol_102	train
mol_103	train
mol_104	train
mol_105	train
mol_106	train
mol_107	train
mol_108	test
mol_109	train
mol_110	train
mol_111	train
mol_112	train
mol_113	train
mol_114	train
mol_115	train
mol_116	val
mol_117	test
mol_118	train
mol_119	train
mol_120	val
mol_121	train
mol_122	train
mol_123	test
mol_124	train
mol_125	train
mol_126	train
mol_127	train
mol_128	train
mol_129	train
mol_130	train
mol_131	train
mol_132	train
mol_133	train
mol_134	train
mol_135	test
mol_136	train
mol_137	val
mol_138	train
mol_139	train
mol_140	train
mol_141	train
mol_142	train
mol_143	train
mol_144	train
mol_145	train
mol_146	test
mol_147	test
mol_148	train
mol_149	train
mol_150	train
mol_151	val
mol_152	val
mol_153	train
mol_154	train
mol_155	train
mol_156	train
mol_157	train
mol_158	train
mol_159	test
mol_160	train
mol_161	val
mol_162	train
mol_163	train
mol_164	val
mol_165	train
mol_166	train
mol_167	val
mol_168	train
mol_169	test
mol_170	test
mol_171	train
mol_172	train
mol_173	val
mol_174	train
mol_175	train
mol_176	train
mol_177	test
mol_178	val
mol_179	val
mol_180	val
mol_181	test
mol_182	train
mol_183	train
mol_184	train
mol_185	val
mol_186	val
mol_187	val
mol_188	train
mol_189	train
mol_190	train
mol_191	train
mol_192	train
mol_193	train
mol_194	train
mol_195	test
mol_196	train
mol_197	train
mol_198	train
mol_199	train
mol_200	train
mol_201	train
mol_202	train
mol_203	train
mol_204	train
mol_205	train
mol_206	train
mol_207	train
mol_208	train
mol_209	train
mol_210	train
mol_211	test
mol_212	train
mol_213	test
mol_214	train
mol_215	test
mol_216	test
mol_217	train
mol_218	test
mol_219	test
mol_220	train
mol_221	train
mol_222	train
mol_223	train
mol_224	train
mol_225	train
mol_226	val
mol_227	train
mol_228	test
mol_229	test
mol_230	test
mol_231	test
mol_232	test
mol_233	train
mol_234	test
mol_235	train
mol_236	test
mol_237	train
